id;resource;sent_date;viewed_date;answered_date;status
1;82913;2023-04-21;2023-04-22;2023-04-22;SENT
2;36286;2023-04-21;2023-04-21;2023-04-22;ANSWERED
3;84253;2023-04-22;2023-04-22;2023-04-22;VIEWED
4;94392;2023-04-21;2023-04-21;2023-04-21;VIEWED
5;94666;2023-04-21;2023-04-21;2023-04-21;ANSWERED
6;4285;2023-04-22;2023-04-22;2023-04-22;SENT
7;59662;2023-04-22;2023-04-21;2023-04-22;SENT
8;40936;2023-04-22;2023-04-22;2023-04-21;VIEWED
9;60774;2023-04-21;2023-04-22;2023-04-22;VIEWED
10;91922;2023-04-22;2023-04-22;2023-04-22;ANSWERED
